Date,Close,Predictions
2019-03-08,308.7,328.25122
2019-03-11,333.8,327.7524
2019-03-12,351.8,327.38693
2019-03-13,337.75,328.0973
2019-03-14,342.4,330.17163
2019-03-15,337.7,333.5064
2019-03-18,330.6,337.61868
2019-03-19,336.75,341.7712
2019-03-20,334.0,345.44867
2019-03-22,331.55,348.30276
2019-03-25,327.0,350.13834
2019-03-26,327.8,350.8554
2019-03-27,322.5,350.54
2019-03-28,329.95,349.31363
2019-03-29,333.1,347.53735
2019-04-01,340.8,345.671
2019-04-02,356.45,344.2418
2019-04-03,350.0,343.9069
2019-04-04,356.8,344.89053
2019-04-05,356.65,347.1883
2019-04-08,354.95,350.53778
2019-04-09,351.6,354.4756
2019-04-10,340.0,358.42914
2019-04-11,346.35,361.67664
2019-04-12,341.95,363.85458
2019-04-15,347.7,364.81357
2019-04-16,348.75,364.75018
2019-04-18,346.95,364.02228
2019-04-22,349.4,362.9564
2019-04-23,316.5,361.86285
2019-04-24,324.5,360.29697
2019-04-25,328.5,358.01114
2019-04-26,325.45,355.10892
2019-04-30,320.3,351.82477
2019-05-02,324.2,348.35672
2019-05-03,331.45,344.99268
2019-05-06,333.45,342.147
2019-05-07,324.95,340.1686
2019-05-08,324.5,339.0449
2019-05-09,315.45,338.58676
2019-05-10,324.1,338.38037
2019-05-13,318.65,338.24365
2019-05-14,336.6,338.01443
2019-05-15,331.25,337.96408
2019-05-16,325.2,338.26907
2019-05-17,328.45,338.84985
2019-05-20,340.1,339.60266
2019-05-21,330.65,340.6505
2019-05-22,335.15,341.8946
2019-05-23,338.8,343.24847
2019-05-24,353.2,344.69147
2019-05-27,349.5,346.47812
2019-05-28,345.6,348.70102
2019-05-29,338.8,351.19803
2019-05-30,346.7,353.5689
2019-05-31,348.8,355.6115
2019-06-03,352.75,357.2866
2019-06-04,352.4,358.69968
2019-06-06,353.8,359.9503
2019-06-07,357.1,361.11996
2019-06-10,363.45,362.30664
2019-06-11,363.25,363.68045
2019-06-12,359.9,365.31683
2019-06-13,363.75,367.10452
2019-06-14,353.3,368.94406
2019-06-17,344.0,370.51352
2019-06-18,345.15,371.35095
2019-06-19,341.1,371.2109
2019-06-20,348.55,370.02658
2019-06-21,343.8,368.09882
2019-06-24,345.1,365.75018
2019-06-25,348.6,363.31757
2019-06-26,345.55,361.1539
2019-06-27,348.65,359.44635
2019-06-28,346.65,358.31912
2019-07-01,348.5,357.75555
2019-07-02,353.6,357.69434
2019-07-03,353.2,358.1347
2019-07-04,362.75,359.02234
2019-07-05,364.8,360.43555
2019-07-08,356.4,362.41724
2019-07-09,362.3,364.7072
2019-07-10,358.55,367.09125
2019-07-11,360.75,369.30438
2019-07-12,356.1,371.1792
2019-07-15,350.6,372.5359
2019-07-16,350.75,373.1708
2019-07-17,346.25,373.01614
2019-07-18,342.5,372.06448
2019-07-19,339.95,370.36014
2019-07-22,342.55,368.01355
2019-07-23,343.6,365.2873
2019-07-24,338.9,362.5128
2019-07-25,339.0,359.8924
2019-07-26,334.9,357.561
2019-07-29,334.55,355.52255
2019-07-30,345.75,353.74762
2019-07-31,337.6,352.44235
2019-08-01,323.9,351.62042
2019-08-02,343.55,350.92676
2019-08-05,357.7,350.4233
2019-08-06,368.45,350.54416
2019-08-07,366.1,351.826
2019-08-08,372.15,354.4451
2019-08-09,371.15,358.33423
2019-08-13,351.65,363.13483
2019-08-14,361.2,367.9205
2019-08-16,361.55,372.03433
2019-08-19,361.0,375.12292
2019-08-20,358.05,377.08066
2019-08-21,354.9,377.9307
2019-08-22,352.75,377.76242
2019-08-23,356.4,376.72266
2019-08-26,360.65,375.11383
2019-08-27,348.3,373.35617
2019-08-28,345.8,371.55267
2019-08-29,343.5,369.67493
2019-08-30,346.8,367.66998
2019-09-03,336.85,365.622
2019-09-04,345.7,363.4718
2019-09-05,347.7,361.37933
2019-09-06,349.25,359.58868
2019-09-09,356.45,358.31885
2019-09-11,355.1,357.82156
2019-09-12,347.55,358.16824
2019-09-13,343.05,359.10098
2019-09-16,344.0,360.1849
2019-09-17,339.85,361.07086
2019-09-18,335.6,361.4781
2019-09-19,337.6,361.20435
2019-09-20,356.4,360.26358
2019-09-23,348.0,359.19717
2019-09-24,348.65,358.368
2019-09-25,341.65,357.96368
2019-09-26,344.05,357.87384
2019-09-27,349.1,357.9584
2019-09-30,367.05,358.19968
2019-10-01,350.95,358.96396
2019-10-03,344.9,360.1936
2019-10-04,339.5,361.5304
2019-10-07,341.55,362.50787
2019-10-09,359.4,362.8575
2019-10-10,377.25,362.88705
2019-10-11,382.9,363.35583
2019-10-14,393.55,364.941
2019-10-15,383.65,368.12317
2019-10-16,385.25,372.7023
2019-10-17,385.85,378.13437
2019-10-18,383.5,383.76926
2019-10-22,374.1,388.96402
2019-10-23,360.35,393.0458
2019-10-24,372.35,395.32553
2019-10-25,375.15,395.77097
2019-10-27,373.1,394.79297
2019-10-29,359.9,392.91287
2019-10-30,367.95,390.36105
2019-10-31,374.25,387.50394
2019-11-01,373.05,384.8377
2019-11-04,378.0,382.72873
2019-11-05,383.95,381.46533
2019-11-06,371.45,381.27042
2019-11-07,371.75,381.89487
2019-11-08,369.15,382.95255
2019-11-11,371.5,384.03354
2019-11-13,368.6,384.89502
2019-11-14,362.5,385.37482
2019-11-15,393.05,385.29916
2019-11-18,409.2,385.25583
2019-11-19,439.35,386.16843
2019-11-20,437.3,389.24695
2019-11-21,426.3,395.00406
2019-11-22,420.65,402.90295
2019-11-25,451.4,411.75528
2019-11-26,432.35,420.99725
2019-11-27,433.35,429.74628
2019-11-28,436.65,437.24338
2019-11-29,442.45,443.0868
2019-12-02,458.6,447.30453
2019-12-03,459.1,450.48132
2019-12-04,461.4,453.18646
2019-12-05,447.35,455.82132
2019-12-06,444.85,458.21893
2019-12-09,445.85,460.04367
2019-12-10,447.0,461.08603
2019-12-11,442.75,461.3413
2019-12-12,438.65,460.85342
2019-12-13,427.8,459.67474
2019-12-16,421.85,457.71066
2019-12-17,439.95,454.87613
2019-12-18,438.3,451.69202
2019-12-19,449.45,448.71985
2019-12-20,453.8,446.62643
2019-12-23,454.8,445.90866
2019-12-24,457.15,446.7224
2019-12-26,447.55,448.9364
2019-12-27,455.1,451.9603
2019-12-30,460.5,455.31088
2019-12-31,455.8,458.71545
2020-01-01,453.3,461.8654
2020-01-02,455.2,464.45978
2020-01-03,455.1,466.35995
2020-01-06,449.65,467.554
2020-01-07,445.1,467.99805
2020-01-08,458.85,467.63226
2020-01-09,460.1,466.83014
2020-01-10,457.0,466.03046
2020-01-13,468.9,465.4772
2020-01-14,469.35,465.53012
2020-01-15,467.85,466.37982
2020-01-16,473.9,467.95688
2020-01-17,500.05,470.1672
2020-01-20,508.7,473.42264
2020-01-21,511.75,478.1125
2020-01-22,514.5,484.27136
2020-01-23,523.65,491.57092
2020-01-24,524.25,499.61337
2020-01-27,514.4,507.85144
2020-01-28,491.25,515.43604
2020-01-29,490.25,521.0946
2020-01-30,489.8,524.0205
2020-01-31,496.45,524.07874
2020-02-01,497.2,521.85895
2020-02-03,510.05,518.251
2020-02-04,518.9,514.4443
2020-02-05,533.35,511.5789
2020-02-06,546.8,510.66174
2020-02-07,539.45,512.40704
2020-02-10,538.7,516.6481
2020-02-11,534.3,522.6376
2020-02-12,539.6,529.2873
2020-02-13,539.95,535.7213
2020-02-14,565.0,541.321
2020-02-17,564.85,546.3579
2020-02-18,548.25,551.14526
2020-02-19,543.4,555.3888
2020-02-20,545.6,558.60754
2020-02-24,529.9,560.5562
2020-02-25,535.25,560.8531
2020-02-26,535.95,559.576
2020-02-27,531.65,557.1203
2020-02-28,523.5,553.91235
2020-03-02,518.35,550.20447
2020-03-03,520.8,546.14703
2020-03-04,516.75,542.0155
2020-03-05,526.9,538.0254
2020-03-06,519.15,534.62994
2020-03-09,496.25,531.9929
2020-03-11,493.8,529.5792
2020-03-12,464.95,526.8737
2020-03-13,491.85,522.97815
2020-03-16,464.8,518.1342
2020-03-17,454.7,512.3537
2020-03-18,425.55,505.6336
2020-03-19,444.75,497.58
2020-03-20,462.65,488.64444
2020-03-23,407.35,480.0179
2020-03-24,404.05,471.5701
2020-03-25,429.1,463.01276
2020-03-26,470.7,454.8667
2020-03-27,448.95,448.7113
2020-03-30,431.05,445.26627
2020-03-31,440.9,444.14572
2020-04-01,421.35,444.78406
2020-04-03,423.95,446.10748
2020-04-07,470.2,447.2545
2020-04-08,461.65,448.7587
2020-04-09,488.7,451.04605
2020-04-13,512.2,454.83975
2020-04-15,510.5,460.94897
2020-04-16,500.45,469.45032
2020-04-17,502.45,479.46518
2020-04-20,490.3,489.8029
2020-04-21,500.5,499.0373
2020-04-22,501.4,506.373
2020-04-23,496.0,511.53506
2020-04-24,494.25,514.4907
2020-04-27,494.05,515.4349
2020-04-28,485.65,514.75793
2020-04-29,496.0,512.76154
2020-04-30,514.3,510.0655
2020-05-04,532.5,507.70825
2020-05-05,528.05,506.89145
2020-05-06,546.0,508.1437
2020-05-07,528.05,511.79382
2020-05-08,530.05,517.1696
2020-05-11,536.2,523.31635
2020-05-12,559.85,529.4671
2020-05-13,555.95,535.62335
2020-05-14,539.85,541.71625
2020-05-15,554.1,547.14966
2020-05-18,538.05,551.73724
2020-05-19,598.8,555.03436
2020-05-20,594.05,558.32
2020-05-21,594.55,562.5613
2020-05-22,593.2,568.09515
2020-05-26,559.25,574.633
2020-05-27,563.1,580.6609
2020-05-28,562.75,584.9888
2020-05-29,552.6,587.0453
2020-06-01,559.05,586.61053
2020-06-02,558.1,584.1382
2020-06-03,551.65,580.3568
2020-06-04,572.45,575.8871
2020-06-05,584.35,571.8134
2020-06-08,585.15,569.25775
2020-06-09,567.8,568.8299
2020-06-10,567.1,570.0998
2020-06-11,551.85,572.3012
2020-06-12,560.1,574.314
2020-06-15,550.7,575.5611
2020-06-16,544.9,575.638
2020-06-17,563.45,574.35486
2020-06-18,560.9,572.3186
2020-06-19,572.5,570.1626
2020-06-22,581.05,568.6561
2020-06-23,578.8,568.4749
2020-06-24,557.35,569.7965
2020-06-25,559.0,571.8463
2020-06-26,560.4,573.82635
2020-06-29,567.1,575.22125
2020-06-30,559.85,575.98773
2020-07-01,560.15,576.0853
2020-07-02,558.45,575.5892
2020-07-03,581.45,574.6149
2020-07-06,576.6,573.9076
2020-07-07,567.15,573.92285
2020-07-08,561.3,574.55505
2020-07-09,568.65,575.36597
2020-07-10,574.7,576.14655
2020-07-13,586.8,576.95056
2020-07-14,589.35,578.15656
2020-07-15,563.6,580.0553
2020-07-16,562.75,582.0119
2020-07-17,566.75,583.3563
2020-07-20,575.75,583.8016
2020-07-21,567.75,583.58765
2020-07-22,569.15,582.86884
2020-07-23,567.2,581.8494
2020-07-24,559.45,580.6782
2020-07-27,559.5,579.2889
2020-07-28,564.6,577.6596
2020-07-29,566.2,575.98474
2020-07-30,552.7,574.5221
2020-07-31,554.85,573.1204
2020-08-03,547.35,571.6839
2020-08-04,549.0,570.01465
2020-08-05,558.95,568.0864
2020-08-06,555.3,566.2514
2020-08-07,560.8,564.7578
2020-08-10,558.85,563.87585
2020-08-11,551.1,563.6717
2020-08-12,547.7,563.8669
2020-08-13,535.35,564.07007
2020-08-14,528.6,563.6972
2020-08-17,521.4,562.2646
2020-08-18,526.3,559.4911
2020-08-19,535.85,555.6124
2020-08-20,525.55,551.3589
2020-08-21,520.25,547.20074
2020-08-24,526.9,543.3418
2020-08-25,528.65,540.0626
2020-08-26,514.5,537.6024
2020-08-27,511.15,535.7189
2020-08-28,523.45,534.0471
2020-08-31,513.1,532.6404
2020-09-01,546.25,531.37836
2020-09-02,550.55,530.9701
2020-09-03,538.0,532.0564
2020-09-04,523.15,534.51166
2020-09-07,515.45,537.4777
2020-09-08,498.1,539.91327
2020-09-09,504.25,540.70685
2020-09-10,497.35,539.4973
2020-09-11,491.65,536.3457
2020-09-14,474.1,531.57904
2020-09-15,485.55,525.3669
2020-09-16,481.75,518.37744
2020-09-17,479.0,511.30945
2020-09-18,494.55,504.72708
2020-09-21,467.75,499.41095
2020-09-22,470.95,495.25467
2020-09-23,433.8,492.01862
2020-09-24,419.3,488.62384
2020-09-25,439.65,483.97568
2020-09-28,443.65,478.10315
2020-09-29,435.6,471.6681
2020-09-30,420.95,465.29025
2020-10-01,432.35,459.17172
2020-10-05,424.45,453.69525
2020-10-06,426.75,449.01852
2020-10-07,422.45,445.2496
2020-10-08,424.45,442.32697
2020-10-09,425.2,440.17932
2020-10-12,415.05,438.73172
2020-10-13,415.3,437.66248
2020-10-14,413.25,436.68872
2020-10-15,399.2,435.603
2020-10-16,401.65,434.02258
2020-10-19,397.7,431.8054
2020-10-20,405.0,428.95703
2020-10-21,419.0,425.8114
2020-10-22,430.65,423.0683
2020-10-23,434.4,421.5357
2020-10-26,434.05,421.7366
2020-10-27,433.35,423.71674
2020-10-28,451.85,427.10825
2020-10-29,450.8,431.73425
